Regulator	SearchregulatoryMechanism	Target
DCST1-AS1	ceRNA or sponge	FAIM2
LINC01436	ceRNA or sponge	EPAS1
E2F6	transcriptional regulation	LINC01436
SNHG14	ceRNA or sponge	YWHAZ
OXCT1-AS1	ceRNA or sponge	JAK1
POU3F3	expression association	TGFB1
SAP30L-AS1	epigenetic regulation	SAP30L
DLX6-AS1	ceRNA or sponge	YAP1
DLX6-AS1	ceRNA or sponge	miR-497-5p
NEAT1	interact with protein	CBX7
NEAT1	interact with protein	RTCB
LINC00210	ceRNA or sponge	miR-328-5p
ICMT-DT	epigenetic regulation	TPX2
MIR17HG	epigenetic regulation	miR-142-3p
MIR17HG	expression association	BACH1
LINC00520	ceRNA or sponge	HSPB1
MAGI2-AS3	ceRNA or sponge	RECK
MBNL1-AS1	ceRNA or sponge	miR-135a-5p
LINC00520	ceRNA or sponge	SPHK2
PCAT6	ceRNA or sponge	MIR15A
HOXA11-AS	ceRNA or sponge	ACTN4
CDKN2B-AS1	ceRNA or sponge	ROCK1
NNT-AS1	ceRNA or sponge	E2F2
TUG1	ceRNA or sponge	c-MET
DANCR	ceRNA or sponge	SOX5
SNHG5	ceRNA or sponge	DNAJB9
HOXC-AS1	ceRNA or sponge	MYC
MYC	interact with protein	HOXC-AS1
DLX6-AS1	interact with protein	UPF1
SNHG14	ceRNA or sponge	miR-613
LINC02273	epigenetic regulation	AGR2
HNRNPL	interact with protein	LINC02273
HCP5	ceRNA or sponge	SOX4
LINC00459	ceRNA or sponge	DKK3
LOXL1-AS1	ceRNA or sponge	miR-143-3p
GAS6-DT	ceRNA or sponge	FUT4
SSTR5-AS1	interact with protein	NONO
CASC15	ceRNA or sponge	miR-130b-3p
TUG1	ceRNA or sponge	PFN2
LCAT1	ceRNA or sponge	RAC1
XLOC_001659	ceRNA or sponge	PIK3CA
CASC21	ceRNA or sponge	YAP1
FLVCR1-DT	ceRNA or sponge	E2F2
DUXAP9	ceRNA or sponge	MSI2
LINC00629	ceRNA or sponge	AQP4
ARHGAP27P1	epigenetic regulation	p15
ARHGAP27P1	epigenetic regulation	p16
ARHGAP27P1	epigenetic regulation	CDKN1C
TP73-AS1	ceRNA or sponge	miR-329-3p
TP73-AS1	ceRNA or sponge	SMAD2
BCYRN1	ceRNA or sponge	miR-204-5p
SNHG4	ceRNA or sponge	ZIC5
SP1	transcriptional regulation	SNHG4
GATA2-AS1	interact with protein	GATA1
MYC	transcriptional regulation	GATA2-AS1
CRNDE	ceRNA or sponge	CCNB1
CCAT1	transcriptional regulation	miR-181a
DUXAP10	ceRNA or sponge	GPR39
HOXC-AS2	ceRNA or sponge	ZEB1
FBXL19-AS1	ceRNA or sponge	miR-203a-3p
LINC01133	ceRNA or sponge	SOX4
LINC-ROR	ceRNA or sponge	ABCB1
MYOSLID	ceRNA or sponge	MCL1
AWPPH	ceRNA or sponge	DKK2
ANKRD40CL	ceRNA or sponge	RGS17
UPF1	interact with mRNA	Linc-00313
Linc-00313	ceRNA or sponge	ZIC4
Linc-00313	transcriptional regulation	SHCBP1
ADAMTS9-AS2	ceRNA or sponge	FOXO1
HOTAIR	ceRNA or sponge	MIR204
HOTAIR	ceRNA or sponge	HOXC8
DLEU1	ceRNA or sponge	DDX5
PCAT1	ceRNA or sponge	ZEB1
PTTG3P	ceRNA or sponge	CCND1
PTTG3P	ceRNA or sponge	PARP2
SNHG1	ceRNA or sponge	PDCD4
LINC00662	ceRNA or sponge	miR-340-5p
LINC00662	ceRNA or sponge	ROCK1
LUCAT1	ceRNA or sponge	TCF7L2
ZFAS1	ceRNA or sponge	miR-7-5p
SNHG14	ceRNA or sponge	EPHA7
ZFAS1	ceRNA or sponge	miR-432-5p
ATB	ceRNA or sponge	CDK2
HAND2-AS1	ceRNA or sponge	BCL2L11
LINC00473	ceRNA or sponge	CD274
SNHG15	expression association	CDK6
SNHG15	expression association	SOX2
SNHG15	expression association	EGFR
SNHG15	expression association	CTNNB1
SNHG15	expression association	MIR627
SNHG15	ceRNA or sponge	ZEB2
SNHG15	ceRNA or sponge	E2F2
SNHG16	ceRNA or sponge	HDAC2
SNHG16	ceRNA or sponge	miR-342-3p
SNHG16	transcriptional regulation	miR-218-5p
SNHG16	ceRNA or sponge	FGF19
SNHG16	expression association	DKK3
SNHG16	ceRNA or sponge	SREBF2
SNHG16	ceRNA or sponge	PIM1
SNHG16	ceRNA or sponge	miR-195
SNHG16	ceRNA or sponge	p62
SNHG16	ceRNA or sponge	miR-140-5p
SNHG16	ceRNA or sponge	EGFR
STAT3	transcriptional regulation	SNHG17
SNHG20	expression association	FOXK1
ZRANB2	interact with mRNA	SNHG20
SNHG20	transcriptional regulation	MMP1
SNHG20	transcriptional regulation	MMP9
SNHG20	transcriptional regulation	VE-Cadherin
SNHG20	ceRNA or sponge	MIR197
SNHG20	transcriptional regulation	miR-140
SNHG20	interact with protein	PTEN
SNHG20	ceRNA or sponge	MIR4486
SNHG22	ceRNA or sponge	Gal-1
SNHG3	ceRNA or sponge	HOXC8
SNHG3	epigenetic regulation	MED18
SNHG3	ceRNA or sponge	HDGF
SNHG4	ceRNA or sponge	c-Met
SNHG4	ceRNA or sponge	miR-98-5p
SNHG5	ceRNA or sponge	HMGB3
SNHG5	ceRNA or sponge	ZEB1
YY1	transcriptional regulation	SNHG5
SNHG5	epigenetic regulation	TNFRSF10A
SNHG5	ceRNA or sponge	E2F3
SNHG6	ceRNA or sponge	ETS1
SNHG6	ceRNA or sponge	miR-101-3p
SNHG6	expression association	E2F8
SNHG6	expression association	miR-186-5p
SNHG6	ceRNA or sponge	MIR4465
SNHG6	ceRNA or sponge	miR-181a-5p
SNHG6	expression association	ZEB1
SNHG6	expression association	VASP
SNHG6	expression association	ETS1
SNHG6	expression association	MIR15A
SNHG7	expression association	DKK1
SNHG7	expression association	miR-181
SNHG7	expression association	miR-122-5p
SNHG7	expression association	RPL4
SNHG7	expression association	miR-34a-5p
MYC	expression association	SNHG7
SNHG7	expression association	miR-34a
SNHG7	expression association	TP53
SNHG7	expression association	RBM19
SNHG7	expression association	ABCG2
SNHG7	ceRNA or sponge	MIR425
SNHG7	ceRNA or sponge	WNT2B
SNHG7	ceRNA or sponge	miR-324-3p
SNHG7	expression association	BDNF
SNHG8	expression association	RECK
sONE	expression association	TP53
sONE	expression association	MYC
SOX2-OT	ceRNA or sponge	MIR363
SOX21-AS1	ceRNA or sponge	miR-144-3p
SOX21-AS1	expression association	miR-7
SOX2-OT	epigenetic regulation	EZH2
SOX2-OT	expression association	H3K27me3
ABHD11-AS1	ceRNA or sponge	SLC1A5
GAS5	transcriptional regulation	PARP1
MIR377	expression association	MEG3
ZFAS1	ceRNA or sponge	miR-135a
H19	expression association	Beclin-1
H19	expression association	Caspase3
H19	expression association	Caspase9
H19	expression association	BCL2
H19	expression association	GTF2H1
H19	expression association	PIK3CA
LINC01133	interact with protein	YBX1
HCP5	expression association	PTEN
ENST00000413528	ceRNA or sponge	miR-593-5p
SNHG20	expression association	BAX
SNHG20	expression association	BCL2
EPEL	expression association	RUNX2
SLNCR1	expression association	sPLA2
LOXL1-AS	expression association	Giver
miR-145	expression association	GAS5
EZH2	expression association	NKILA
NFKB1	expression association	NKILA
LINC01354	interact with protein	CTNNB1
BLACAT1	ceRNA or sponge	MIR361
GSTP1P1	interact with protein	HSP90AA1
FOXA1	chromatin looping	PCSEAT
TFAP2A	transcriptional regulation	LINC00511
LINC00511	interact with protein	CDKN1B
MALAT1	interact with protein	TCF7L2
CERNA2	ceRNA or sponge	STAT3
DLEU2	ceRNA or sponge	miR-337-3p
HOTAIRM1	interact with protein	HOXA
FOXP4-AS1	ceRNA or sponge	FOXP4
LINC00324	interact with protein	FASLG
LINC00174	ceRNA or sponge	S100A10
ILF3-DT	ceRNA or sponge	PTBP3
LINC01139	ceRNA or sponge	MYBL2
MELTF-AS1	ceRNA or sponge	FOXM1
DBH-AS1	interact with protein	FN1
FOXD2-AS1	ceRNA or sponge	HDGF
FOXD2-AS1	ceRNA or sponge	MIR760
SYNE3	expression association	HMGB2
MIR7-3HG	ceRNA or sponge	PEG10
HOTAIR	ceRNA or sponge	YY1
CCHE1	ceRNA or sponge	PAK2
CDKN2B-AS1	ceRNA or sponge	MAP3K3
CASC9	ceRNA or sponge	ADAM9
SNHG12	transcriptional regulation	SNAI2
MIAT	ceRNA or sponge	INCENP
SOX2	transcriptional regulation	MIAT
SNHG1	ceRNA or sponge	Cyclin D1
LINC00311	ceRNA or sponge	TLR4
LNCARSR	ceRNA or sponge	SOX4
LINC00400	ceRNA or sponge	RAF1
HIF1A-AS2	ceRNA or sponge	miR-129-5p
OIP5-AS1	ceRNA or sponge	MIR641
LUADT1	ceRNA or sponge	TWIST1
LINC02418	ceRNA or sponge	SEC61G
LINC-ROR	ceRNA or sponge	FLNB
LINC00958	ceRNA or sponge	NUAK1
ZFAS1	ceRNA or sponge	RALY
LEF-AS1	ceRNA or sponge	KIF3B
LINC00976	ceRNA or sponge	OTUD7B
RAB5IF	interact with protein	CTNNB1
RAB5IF	interact with protein	MYC
LINC00174	ceRNA or sponge	SOX9
LINC00470	interact with protein	PTEN
ROCR	interact with protein	SOX9
CDKN2B-AS1	ceRNA or sponge	PBX3
LINC00319	ceRNA or sponge	ROMO1
HHIP-AS1	interact with protein	HHIP
STAT3	interact with protein	SNHG17
LINC00473	ceRNA or sponge	CDK6
LINC00645	ceRNA or sponge	ZEB1
H3K27	epigenetic regulation	lnc-SLC4A1-1
lnc-SLC4A1-1	interact with protein	CXCL8
EGFR-AS1	ceRNA or sponge	RACK1
PANDAR	interact with protein	E2F1
PANDAR	interact with protein	HNRNPU
PXN-AS1	ceRNA or sponge	PIP4K2B
TP53	transcriptional regulation	LINC01419
NONHSAT101069	ceRNA or sponge	TWIST1
LINC00460	ceRNA or sponge	FADS1
UFC1	ceRNA or sponge	CXCL10
CYTOR	ceRNA or sponge	TPD52
LINC00342	ceRNA or sponge	miR-203a-3p
SNHG14	ceRNA or sponge	ANXA2
LINC00467	ceRNA or sponge	PPARA
LINC00460	ceRNA or sponge	RAP1A
KCNQ1OT1	ceRNA or sponge	CCND2
NORAD	ceRNA or sponge	STAT3
DDX11-AS1	ceRNA or sponge	CLDN7
LINC81507	ceRNA or sponge	CAV1
NR4A1AS	transcriptional regulation	NR4A1
DGCR5	ceRNA or sponge	EPHB6
LINC02862	ceRNA or sponge	DOCK4
FENDRR	interact with protein	SOX4
STXBP5-AS1	ceRNA or sponge	PTEN
MAFG-DT	ceRNA or sponge	MAFG
F11-AS1	ceRNA or sponge	PTEN
PVT1	ceRNA or sponge	IRS1
H19	ceRNA or sponge	SNAI1
CASC19	ceRNA or sponge	CEMIP
KCNQ1OT1	ceRNA or sponge	PPP1R1B
PTPRG-AS1	ceRNA or sponge	PRC1
LINC01061	ceRNA or sponge	SEMA4D
SP1	epigenetic regulation	SEMA3B-AS1
SEMA3B-AS1	expression association	SEMA3B
NEAT1	ceRNA or sponge	miR-34a-5p
AC016405.3	ceRNA or sponge	TET2
LMCD1-AS1	ceRNA or sponge	COL6A3
E2F1	transcriptional regulation	LMCD1-AS1
LINC00702	ceRNA or sponge	PTEN
DLEU2	ceRNA or sponge	SMAD2
IQANK1	interact with protein	ELAVL1
ILF3-DT	ceRNA or sponge	SOX5
SP1	transcriptional regulation	ILF3-DT
PCAT1	interact with protein	FKBP5
NEAT1	ceRNA or sponge	HAVCR2
HCG11	ceRNA or sponge	MTA3
MALAT1	ceRNA or sponge	POSTN
ZEB2-AS1	interact with protein	PTEN
EZH2	expression association	UGP2
PRDM16-DT	expression association	PIK3CA
SEMA3B-AS1	ceRNA or sponge	PTEN
GHET1	expression association	PTEN
LINC02381	expression association	PTEN
LEF1-AS1	expression association	LEF1
LEF1-AS1	expression association	CTNNB1
HAGLR	epigenetic regulation	PDCD4
MEG3	ceRNA or sponge	ERP29
HAGLR	epigenetic regulation	E2F1
sONE	expression association	miR-34a
sONE	expression association	MIR15A
sONE	expression association	miR-16
sONE	expression association	let-7a
sONE	transcriptional regulation	TP53
sONE	transcriptional regulation	MYC
HNF1A	transcriptional regulation	NR_023387
NR_023387	expression association	MGP
ADAMTS9-AS1	ceRNA or sponge	PRDM16
LUCAT1	ceRNA or sponge	MIR5702
CASC11	interact with protein	MYC
LINC01436	ceRNA or sponge	FBOX11
FGF14-AS2	ceRNA or sponge	miR-205-5p
LINC00488	ceRNA or sponge	TLN1
RAMP2-AS1	ceRNA or sponge	KDR
RAMS11	transcriptional regulation	TOP2A
A2M-AS1	expression association	CD2
A2M-AS1	expression association	SELL
LINC00519	ceRNA or sponge	YAP1
LINC00520	ceRNA or sponge	YAP2
TLR8-AS1	transcriptional regulation	TLR8
FTX	ceRNA or sponge	SIVA1
NRIR	interact with protein	MYC
NRIR	interact with protein	FUBP3
LINC00460	ceRNA or sponge	AGR2
XIST	ceRNA or sponge	TRIB2
LUCAT1	expression association	miR-199a-5p
LINC00857	interact with protein	FOXK1
SNHG6	expression association	WIPF1
SNHG6	expression association	MMP2
SNHG6	expression association	MMP9
EREG	expression association	MRPL23-AS1
MRPL23-AS0	chromatin looping	EZH2
MRPL23-AS1	interact with protein	E-cadherin
TMPO-AS1	ceRNA or sponge	EBF1
ASB16-AS1	ceRNA or sponge	WNT2
LINC00511	ceRNA or sponge	miR-515-5p
SP1	transcriptional regulation	SNHG12
DNMTs	epigenetic regulation	SNHG12
SNHG12	ceRNA or sponge	MAPK1
SNHG12	ceRNA or sponge	E2F7
LINC01783	ceRNA or sponge	GBP1
NNT-AS1	ceRNA or sponge	miR-203
LINC-ROR	expression association	MRP1
HMGA2-AS1	expression association	HMGA2
HOXA11-AS	ceRNA or sponge	miR-148a
PSMA3-AS1	ceRNA or sponge	EZH2
AC093818.1	expression association	PDPK1
STAT3	transcriptional regulation	AC093818.1
SP1	transcriptional regulation	AC093818.1
GACAT3	expression association	miR-497
GACAT3	expression association	Capsase9
GACAT3	expression association	BCL2
CP	expression association	IGF2
LINC00319	ceRNA or sponge	RPP25
LINC01116	ceRNA or sponge	radixin
PCAT7	ceRNA or sponge	TGFBR1
PVT1	epigenetic regulation	MYC
LINC00858	interact with protein	HNF1A
LINC00858	expression association	WNK2
LINC02835	interact with protein	p120-catenin
YY1	transcriptional regulation	LINC02835
RBM5-AS1	ceRNA or sponge	YAP1
YY1	transcriptional regulation	RBM5-AS1
HLA-F-AS1	ceRNA or sponge	PFN1
SLCO4A1-AS1	expression association	EGFR
SLCO4A1-AS1	expression association	MAPK
MAGI2-AS3	ceRNA or sponge	ZEB1
BRD4	transcriptional regulation	MAGI2-AS3
ZEB1-AS1	ceRNA or sponge	PAK2
HOXC-AS3	ceRNA or sponge	PPP1R1A
SNHG1	ceRNA or sponge	SP1
SP1	transcriptional regulation	SNHG1
LINC00662	ceRNA or sponge	WNT0A
LINC00662	ceRNA or sponge	WNT1A
LINC00662	ceRNA or sponge	WNT2A
DSCAM-AS1	ceRNA or sponge	ATXN7L3
XLOC_006390	expression association	GDH1
MYC	expression association	XLOC_006390
TDRG1	ceRNA or sponge	HDGF
AC114812.8	ceRNA or sponge	FUT4
LncCCAT1	ceRNA or sponge	TCF7L2
TCF7L2	transcriptional regulation	LncCCAT1
LncCCAT1	ceRNA or sponge	DNMT1
LncCCAT1	ceRNA or sponge	TRDMT1
UCA1	expression association	SPRY1
LINC00467	ceRNA or sponge	CCND1
RPPH1	interact with protein	TUBB3
CDKN2B-AS1	ceRNA or sponge	ARL2
AFAP1-AS1	ceRNA or sponge	miR-512-3p
LINC00052	ceRNA or sponge	EGFR
SNHG15	ceRNA or sponge	HDAC2
LUCAT1	ceRNA or sponge	SOX2
LNMAT2	epigenetic regulation	PROX1
ERLNC1	expression association	KISS1
ZFAS1	ceRNA or sponge	PLP2
lncRNA-CTS	ceRNA or sponge	ZEB2
LINC01123	ceRNA or sponge	MYC
LINP1	expression association	PIK3CA
LINP1	expression association	AKT1
LINC00958	ceRNA or sponge	YWHAZ
PRECSIT	transcriptional regulation	CTCF
PRECSIT	transcriptional regulation	MYC
LINC01133	ceRNA or sponge	AHDC1
CASC19	ceRNA or sponge	ZEB2
FEZF1-AS1	ceRNA or sponge	miR-196a
PDPK2P	expression association	PDK1
CASC2	ceRNA or sponge	CDK19
FAM225A	ceRNA or sponge	miR-590-3p
FAM225A	ceRNA or sponge	MIR1275
FAM225A	ceRNA or sponge	ITGB3
HOTTIP	ceRNA or sponge	miR-128-3p
LINC00319	interact with protein	TAF1
LINC00319	expression association	HMGA2
LINC00205	interact with protein	miR-122-5p
LINC01551	ceRNA or sponge	miR-122-5p
LINC01551	ceRNA or sponge	ADAM10
UCA1	interact with protein	MIR122
DLEU1	expression association	TRAF4
HOXA11-AS	expression association	SRSF1
LINC00324	interact with protein	CFAP251
PVT1	ceRNA or sponge	miR-140
FOXO4	transcriptional regulation	PVT1
TP73-AS1	interact with protein	miR-103
PANDAR	expression association	ROCK1
TTN-AS1	ceRNA or sponge	miR-4677-3p
TTN-AS1	ceRNA or sponge	ZEB1
LINC00858	ceRNA or sponge	MIR3182
LINC00858	ceRNA or sponge	MMP2
HCP5	ceRNA or sponge	miR-203
SMAD3	transcriptional regulation	HCP5
H19	expression association	VGF
lncAPP	ceRNA or sponge	miR-218
lncAPP	ceRNA or sponge	ZEB2/CDH2
H19	epigenetic regulation	MED12/HMGA2
BLACAT1	expression association	Wnt/beta-catenin
miR-140	interact with protein	SNHG20
MSTO2P	interact with protein	EZH2
ZFAS1	ceRNA or sponge	MIR646
ZFAS1	ceRNA or sponge	NOB1
RPSAP52	ceRNA or sponge	miR-15a/15b/16
RPSAP52	ceRNA or sponge	HMGA2
LINC00460	interact with protein	miR-206
LINC00460	expression association	STC2
HOXB13	transcriptional regulation	HOXC-AS3
LNCARSR	ceRNA or sponge	miR-20b-3p
LNCARSR	ceRNA or sponge	c-Met
MCM3AP-AS1	interact with protein	miR-211-5p
MCM3AP-AS1	ceRNA or sponge	SPARC
MAFG-DT	interact with protein	miR-339-5p
MAFG-DT	ceRNA or sponge	MMP15
LINC00504	expression association	MYC
HULC	interact with protein	miR-130b
HULC	ceRNA or sponge	FOXM1
SNHG16	ceRNA or sponge	miR-200a-3p
TPT1-AS1	ceRNA or sponge	miR-324-5p
TPT1-AS1	ceRNA or sponge	CERNA2
LINC01980	expression association	GADD45A
LINC01116	transcriptional regulation	MYC
CERS6-AS1	interact with protein	CERS6
HOTAIR	ceRNA or sponge	PDPK1
PEG10	expression association	Cyclin D1
PEG10	ceRNA or sponge	miR-33a
PANDAR	expression association	MMP2
PANDAR	expression association	MMP9
PANDAR	expression association	Vimentin
PANDAR	expression association	E-cadherin
DDX11-AS1	epigenetic regulation	LATS2
UCA1	ceRNA or sponge	MIR15A
TUSC8	ceRNA or sponge	PTEN
FOXD2-AS1	epigenetic regulation	CDKN1B
LOC101927746	ceRNA or sponge	SSRP1
MIR570MG	ceRNA or sponge	SMAD3
SNHG7	expression association	E-cadherin
SNHG7	expression association	N-cadherin
SNHG7	expression association	Vimentin
NR4A1	transcriptional regulation	WFDC21P
WFDC21P	interact with protein	PFKP
WFDC21P	interact with protein	PKM
LCAL1	interact with protein	PRKAA2
LINC00261	expression association	SNAI1
TSLD8	interact with protein	WWOX
PBB12	ceRNA or sponge	hsa-miR-204-5p
PBB12	ceRNA or sponge	KLF4
XIST	ceRNA or sponge	miR-200b-3p
ROR1-AS1	ceRNA or sponge	miR-375
PVT1	ceRNA or sponge	miR<U+2011>16
ZFPM2-AS1	expression association	MIR137
GNAS-AS1	ceRNA or sponge	NECAB3
NORAD	ceRNA or sponge	AKT1
GAS6-DT	expression association	GAS6
ZEB2-AS1	interact with protein	ZEB2
LINC00536	expression association	WNT3A
HORAS5	expression association	AR
XIC	ceRNA or sponge	NELL2
LNCRNA-ATB	ceRNA or sponge	CTNNB1
LINC01555	expression association	NMU
NKILA	expression association	IL6
NKILA	expression association	VEGFA
SNHG3	ceRNA or sponge	miR-196a-5p
LINC01170	expression association	AKT1
LUCAT1	expression association	miR-199b-5p
PSMG3-AS1	ceRNA or sponge	miR-143-3p
UPF1	transcriptional regulation	UCA1
MIR155HG	transcriptional regulation	miR-155-5p
MIR155HG	transcriptional regulation	miR-155-3p
LINC00460	ceRNA or sponge	EGFR
MALAT1	ceRNA or sponge	miR-194-5p
HOXA-AS2	expression association	miR-145-3p
MIR22HG	transcriptional regulation	STAT3
MIR22HG	transcriptional regulation	MYC
MIR22HG	transcriptional regulation	PTK2
lncOGFRP1	expression association	SNAI1
MEG3	ceRNA or sponge	PDGFRA
GAS5	ceRNA or sponge	miR-126-3p
MCM3AP-AS1	ceRNA or sponge	FOXK1
SCHLAP1	interact with protein	ACTN4
CCAL	interact with protein	CTNNB1
HAND2-AS1	transcriptional regulation	BMPR1A
SNHG12	ceRNA or sponge	MIR133B
FER1L4	expression association	AKT1
FER1L4	expression association	PIK3CA
LINC00963	ceRNA or sponge	FN1
ST7-AS1	interact with protein	CARM1
FRMD6-AS2	chromatin looping	FRMD6
PCNAP1	ceRNA or sponge	PCNA
MALAT1	ceRNA or sponge	BIRC5
MALAT1	interact with protein	YY1AP1
MALAT1	interact with protein	SOX2
DLX6-AS1	ceRNA or sponge	ARPP19
ALKBH5	epigenetic regulation	NEAT1
PDIA3P1	ceRNA or sponge	RELA
ZNF750	transcriptional regulation	DANCR
DANCR	ceRNA or sponge	FOXC2
DANCR	interact with protein	PSMD10
SOD2	transcriptional regulation	LIN28B
LIN28B	ceRNA or sponge	MYC
DANCR	interact with protein	STAT3
LINC00460	interact with mRNA	PRDX1
KCNQ1OT1	expression association	CTNNB1
lncRNA-AC078883.3	ceRNA or sponge	PTEN
NHEG1	expression association	DDX5
TGLC15	expression association	SOX4
VPS13B-DT	interact with mRNA	IL11
DLGAP1-AS1	ceRNA or sponge	CDK8
DLGAP1-AS1	ceRNA or sponge	LRP6
OIP5-AS1	ceRNA or sponge	ROCK1
LNCRNA-ATB	ceRNA or sponge	ILF3
ROR1-AS1	ceRNA or sponge	MIR504
PCAT1	epigenetic regulation	E-cadherin
PCAT1	ceRNA or sponge	ANXA10
CCAT2	ceRNA or sponge	NOTCH2
CCAT2	expression association	OCT4-PG1
RP11-361F15.2	ceRNA or sponge	CPEB4
LINC00662	ceRNA or sponge	CLDN8
LINC00662	ceRNA or sponge	IL22
DANCR	epigenetic regulation	FOXO1
BCAR4	ceRNA or sponge	WNT7A
LncRNA-SRA1	interact with protein	EIF4E-BP1
TRPM2-AS	interact with protein	TAF15
DLEU2	ceRNA or sponge	E2F7
MIR4435-2HG	ceRNA or sponge	TGFB1
GIHCG	expression association	MIR1281
HCG18	ceRNA or sponge	MTDH
DLEU1	ceRNA or sponge	RAB22A
FAM201A	expression association	ABCE1
MIAT	expression association	DGCR8
THAP9-AS1	ceRNA or sponge	YY1AP1
THAP9-AS1	interact with protein	YY1AP1
LINC00682	ceRNA or sponge	LMX1A
PSMB8-AS1	ceRNA or sponge	RAB10
ELK1	transcriptional regulation	PSMB8-AS1
EPIC1	interact with protein	YAP1
GATA6-AS	expression association	TUG1
NORAD	ceRNA or sponge	miR-214
CACS15	expression association	MEG3
FTH1P3	ceRNA or sponge	miR-145
Unigene56159	ceRNA or sponge	miR-194-5p
BANCR	ceRNA or sponge	miR-195-5p
AC007271.3	expression association	CTNNB1
IL1R1-AS1	expression association	Cyclin D1
IL1R1-AS1	expression association	MYC
IL1R1-AS1	expression association	BCL2
LncRNA-HGBC	ceRNA or sponge	SET
TP73-AS1	ceRNA or sponge	miR-141-3p
SPRY4-IT1	ceRNA or sponge	ZEB2
HOXA11-AS	ceRNA or sponge	miR-125a
LINC00511	ceRNA or sponge	EYA1
HULC	ceRNA or sponge	MYH9
DLEU1	ceRNA or sponge	miR-4429
H19	ceRNA or sponge	MAPK1
PVT1	interact with protein	ERG
PVT1	ceRNA or sponge	ERG
ZEB2-AS1	expression association	CTNNB1
TUG1	ceRNA or sponge	MMP14
TUG1	expression association	p38
TUG1	expression association	HSPB1
CASC15	ceRNA or sponge	miR-101-3p
AOC4P	expression association	MAPK3
AOC4P	expression association	MAPK8
AOC4P	expression association	p38
FBXL19-AS1	ceRNA or sponge	FOXM1
LINC00504	ceRNA or sponge	MIR1244-1
LINC00504	expression association	PKM
LINC00504	expression association	HK2
LINC00504	expression association	PDK1
PCAT6	ceRNA or sponge	TGFBR1
PCAT6	ceRNA or sponge	TGFBR2
PART1	ceRNA or sponge	CTNNB1
MATN1-AS1	ceRNA or sponge	CHD1
LNCOG	ceRNA or sponge	ADGRD1
NEAT1	ceRNA or sponge	KLF3
LINC00511	interact with protein	KDM1A
LINC00511	expression association	LATS2
LINC00511	expression association	KLF2
PCAT6	expression association	PTEN
HULC	ceRNA or sponge	MET
HULC	ceRNA or sponge	TWIST1
LINC00470	expression association	ILF2
LINC00470	expression association	ILF3
TTN-AS1	ceRNA or sponge	KLF15
LINC02582	ceRNA or sponge	CHEK1
TTN-AS1	ceRNA or sponge	MBTD1
TTN-AS1	ceRNA or sponge	miR-193a-5p
LINC00974	transcriptional regulation	CDK6
LINC00243	ceRNA or sponge	PDK4
RPL34-DT	ceRNA or sponge	RGS4
MEG3	ceRNA or sponge	ATP4B
GAS5	ceRNA or sponge	GSK3¦Â
FOXO1	transcriptional regulation	GAS5
MIR4435-2HG	expression association	EZH2
MIR4435-2HG	epigenetic regulation	CDKN1A
MIR4435-2HG	epigenetic regulation	E-cadherin
IDH1-AS1	ceRNA or sponge	ATG5
PAX5	transcriptional regulation	IDH1-AS1
IDH1-AS1	interact with protein	PTBP3
SNHG14	ceRNA or sponge	ZEB1
TP73-AS1	expression association	PTEN
TP73-AS1	interact with protein	AKT1
FOXD2-AS1	ceRNA or sponge	miR-195
SLC26A4-AS1	expression association	E-cadherin
SLC26A4-AS1	expression association	ERK
SLC26A4-AS1	expression association	Vimentin
SLC26A4-AS1	expression association	TP53
